Title;Course_code;Credits;Period;Course_Level;Faculty;Course_Coordinator;Examiner;Teaching_Staff;Target_Audiences;Entry_Requirements;Course_Content;URL;;;;;;;;;
Psychopathology;P_MPSYPAT;12 EC;P1+2;400;English;Faculty of Behavioural and Movement Sc.;dr. B.L. Slawinski;dr. B.L. Slawinski;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/P_MPSYPAT;;;;;;;;;
Psychopathology and Clinical Psychology;B_PSYPATH;6 EC;P1;200;Dutch;Faculty of Behavioural and Movement Sc.;dr. C. Emck;dr. C. Emck;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/B_PSYPATH;;;;;;;;;
Psychology of Religion;G_BATRSAL058;6 EC;P1;200;English;Faculty of Religion and Theology;A. Foppen MA MSc.;A. Foppen MA MSc.;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;Why are people religious, and how do we give meaning to life?;https://studiegids.vu.nl/en/courses/2024-2025/G_BATRSAL058;;;;;;;;;
Psychologycial Communication Skills 1: Basic Skills;P_BPSG1BA;3 EC;P6;100;Dutch / English;Faculty of Behavioural and Movement Sc.;dr. C.R. van Genugten;dr. C.R. van Genugten;;NA;In every profession it is important to communicate well, but for a psychologist this is a core skill. Practitioners, coaches and;https://studiegids.vu.nl/en/courses/2024-2025/P_BPSG1BA;;;;;;;;;
Psychology;R_PsyL;6 EC;P5;100;English;Faculty of Law;dr. A. Vredeveldt;dr. A. Vredeveldt;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/R_PsyL;;;;;;;;;
Psychology;AB_1124;6 EC;P2;100;Dutch;Faculty of Science;dr. K. Mortier;dr. K. Mortier;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/AB_1124;;;;;;;;;
Psychology;B_PSY;6 EC;P4;100;Dutch;Faculty of Behavioural and Movement Sc.;dr. J.F. Stins;dr. J.F. Stins;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/B_PSY;;;;;;;;;
Psychological Interventions for Complex Problems;P_BPSINCP;6 EC;P5;300;English;Faculty of Behavioural and Movement Sc.;dr. M.B.J. Toffolo;dr. A.B. Witteveen;;NA;Many patients treated in the more specialized Mental Health Care (GGZ) suffer from complex psychological problems. The aim of this course is to provide an overview of several specialized, state-of-the-art psychotherapies used in the GGZ. In the lectures, a number of prominent experts (researchers and practitioners) from clinical practice will talk about their experience with treating patients with psychological disorders such as personality disorders, chronic depression, obsessive-compulsive disorder, psychosis, complex trauma, eating disorders and forensic problems. They will discuss the scientific base of these treatments and mechanisms of action, but also appropriate indication and clinical application. Self-study of scientific literature belonging to the lectures will be used to deepen your understanding of the different treatments. Weekly reflection questions can be used to test your knowledge and think critically about the material.;https://studiegids.vu.nl/en/courses/2024-2025/P_BPSINCP;;;;;;;;;
Psychological Communication 2: Professional skills;P_BPSG2PV;3 EC;P3;200;Dutch / English;Faculty of Behavioural and Movement Sc.;dr. D.M. Dekker;dr. D.M. Dekker;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/P_BPSG2PV;;;;;;;;;
Psycholinguistics;L_TABAALG003;6 EC;P1;100;Dutch;Faculty of Humanities;dr. J. Lin MA;dr. J. Lin MA;Extra curricular course for VU students, Secondary subject for non-VU students;NA;This course is an introduction to psycholinguistics, an interdisciplinary scientific field that integrates concepts and techniques from modern linguistics, psychology and neuroscience. It investigates and describes the mental processes involved in the production and comprehension of language. Through online lectures, assignments, and exercices you will find tools to approach and answer questions like: How do we produce, perceive and recognize spoken and written language? How do we acquire language(s)? How is linguistic knowledge represented, structured and stored in our mind and brain, and how is it used in the real-time processing of language?;https://studiegids.vu.nl/en/courses/2024-2025/L_TABAALG003;;;;;;;;;
Psycholinguistics;L_AABACIW109;6 EC;P5;100;English;Faculty of Humanities;dr. J. Lin MA;dr. J. Lin MA;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;NA;This course is an introduction to psycholinguistics, an interdisciplinary scientific field that integrates concepts and techniques from modern linguistics, psychology and neuroscience. It investigates and describes the mental processes involved in the production and comprehension of language. Through lectures, assignments, and hands-on sessions you will gain knowledge and learn skills and tools to address questions like: How do we produce, perceive and recognize spoken and written language? How do we acquire language(s)? How is linguistic knowledge represented, structured and stored in our mind and brain, and how this knowledge is used in the real-time processing of language?;https://studiegids.vu.nl/en/courses/2024-2025/L_AABACIW109;;;;;;;;;
Psychodiagnostics in Practice;P_MPSYPRA;6 EC;P1;400;Dutch;Faculty of Behavioural and Movement Sc.;dr. D.J. Zevalkink;dr. D.J. Zevalkink;;NA;De cursus biedt inhoudelijke kennis en praktische vaardigheden met betrekking tot verdiepende psychodiagnostiek bij kinderen, jeugdigen en hun ouders. In de cursus komen ontwikkelingsaspecten en omgevingskenmerken aan de orde die relevant zijn voor de psychodiagnostiek van kinderen, adolescenten en hun ouders. Meer specifiek bespreken we de psychodiagnostiek van sociale en emotionele problemen, cognitieve functies en persoonlijkheidsproblemen bij kinderen en adolescenten (0‐24 jaar). Daarnaast is er aandacht voor relevante diagnostiek bij ouders (bijv. relatieproblematiek). Wetenschappelijke bevindingen op dit gebied vertalen we naar de klinische praktijk. Aan de hand van opdrachten leer je via casuïstiek meer over de achtergronden voor de keuze, de afname en de interpretatie van verschillende instrumenten. Als aankomend psychodiagnosticus leer je in de cursus je theoretische, methodische en persoonlijk-professionele reflectie over diagnostisch handelen te ontwikkelen en aan te scherpen.;https://studiegids.vu.nl/en/courses/2024-2025/P_MPSYPRA;;;;;;;;;
Psyche and Soma;P_MPSYSOMA;6 EC;P1;400;Dutch;Faculty of Behavioural and Movement Sc.;dr. C.J.M. Holtmaat;dr. C.J.M. Holtmaat;;Bachelor Psychologie of minor op het gebied van psychologie;NA;https://studiegids.vu.nl/en/courses/2024-2025/P_MPSYSOMA;;;;;;;;;
Proteomics in Biomedical Research;M_CPROTBI09;3 EC;P2+3+4, P3+4;500;English;Faculty of Medicine;dr. C.R. Jimenez;dr. C.R. Jimenez;Extra curricular course for VU students;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/M_CPROTBI09;;;;;;;;;
Protein Science;AM_470145;6 EC;P1;400;English;Faculty of Science;dr. D. Bald;dr. D. Bald;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;Participation in prior Bachelor-level courses on proteins/biochemistry is expected.;We will start with a repetition of protein structure and function.;https://studiegids.vu.nl/en/courses/2024-2025/AM_470145;;;;;;;;;
Protein Analysis;X_435045;6 EC;P5;500;English;Faculty of Science;dr. J.M. Bärenfänger;dr. J.M. Bärenfänger;Extra curricular course for VU students;NA;https://studiegids.uva.nl/xmlpages/page/2024-2025-en/search-course/course/118802;https://studiegids.vu.nl/en/courses/2024-2025/X_435045;;;;;;;;;
Pronunciation;L_ETBAALG002;3 EC;P2;200;English;Faculty of Humanities;dr. L.M. Rupp;dr. L.M. Rupp;Extra curricular course for VU students, Secondary subject for non-VU students;NA;We will set goals for the English accent that you wish to develop both;https://studiegids.vu.nl/en/courses/2024-2025/L_ETBAALG002;;;;;;;;;
Project Nerves;X_430067;6 EC;P6;200;Dutch;Faculty of Science;prof. dr. J.T.M. Kennis;prof. dr. J.T.M. Kennis;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/X_430067;;;;;;;;;
Project Language and Hearing;L_WABAALG007;6 EC;P3;300;Dutch;Faculty of Humanities;dr. S.T. Goverts;dr. S.T. Goverts;Extra curricular course for VU students, Secondary subject for non-VU students;NA;Binnen het project neemt de student deel aan de werkzaamheden;https://studiegids.vu.nl/en/courses/2024-2025/L_WABAALG007;;;;;;;;;
Project Systems Testing;X_405124;6 EC;P6;400;English;Faculty of Science;dr. N. Silvis-Cividjian;dr. N. Silvis-Cividjian;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;The VU Software Testing course. Programming skills in C++.;"This project is a follow-up to the course Software testing. It creates a ""playground"" where students can experiment with different testing techniques they learned during the Software Testing course. Moreover, testing is practised as just one phase in a more general, systems engineering process, where software meets hardware.The systems under test, a model railway and a salinity and temperature-controlled water plant, are inspired by real safety-critical systems, such as railway management systems and automatic insulin pumps.";https://studiegids.vu.nl/en/courses/2024-2025/X_405124;;;;;;;;;
Project System Modelling;X_420544;6 EC;P6;300;Dutch;Faculty of Science;dr. I.H.M. van Stokkum;dr. I.H.M. van Stokkum;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/X_420544;;;;;;;;;
Project Sustainable Future;X_432784;6 EC;P6;500;English;Faculty of Science;dr. J.C. Slootweg;dr. J.C. Slootweg;;NA;https://studiegids.uva.nl/xmlpages/page/2024-2025-en/search-course/course/118996;https://studiegids.vu.nl/en/courses/2024-2025/X_432784;;;;;;;;;
Project Sustainable Ecosystems;XM_0145;6 EC;P6;500;English;Faculty of Science;dr. F.M. Béen;dr. F.M. Béen;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;Since the mid of the 19th century, the production and use of chemicals have been increasing dramatically and nowadays play a crucial role in the functioning of our societies. In fact, the chemical industry nowadays has become one of the most important manufacturing industries from an economic perspective. From pharmaceuticals, all the way to textiles and plastics, chemicals are involved in almost everything that we do. Yet through their life cycle, from manufacturing, during usage and eventually, when they are being disposed of, chemicals can impact human health and the environment. Through voluntary or involuntary emissions in the air (e.g., atmosphere) and water (e.g., rivers), chemicals can enter the environment and influence entire ecosystems. These chemicals can eventually also affect human health as we ourselves are exposed to them through the air we breathe, the food we eat and the water we drink.;https://studiegids.vu.nl/en/courses/2024-2025/XM_0145;;;;;;;;;
Project Socially Aware Computing;XB_0042;6 EC;P3;200;English;Faculty of Science;C. Gerritsen;C. Gerritsen;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;Within this course students learn to address a societal challenge involving social interaction by means of agent-based simulation. They learn to identify relevant concepts and relations, formalise these in a dedicated environment (Netlogo), conduct simulations to test different hypothetical scenarios and analyse their results.;https://studiegids.vu.nl/en/courses/2024-2025/XB_0042;;;;;;;;;
Project Situated AI;XB_0121;6 EC;P3;300;English;Faculty of Science;dr. M.C.A. Klein;dr. M.C.A. Klein;;NA;This course concludes the minor Situated AI. It is a full-time, 4 weeks course, in which students will work in groups on several practical assignments related to the other courses of the minor. One week will be devoted to building a robot application, another to the implementation of a conversational AI system, another week to the implementation of a reinforcement algorithm, and one to the application of logical reasoning. The different components will be combined in one application scenario, for which the students will build an demonstrator. Students will write a report about their demo and the choices made.;https://studiegids.vu.nl/en/courses/2024-2025/XB_0121;;;;;;;;;
Project Reinforcement Learning;XM_0120;6 EC;P3;500;English;Faculty of Science;V.G.M. Francois Lavet;V.G.M. Francois Lavet;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/XM_0120;;;;;;;;;
Project Premaster: Communicatiewetenschapper in de maak;S_PPC;12 EC;P4+5;300;Dutch;Faculty of Social Sciences;dr. E.F. Droog;dr. E.F. Droog;;NA;Het vak dient om studenten verschillende belangrijke academische vaardigheden aan te leren. In dit vak maken studenten kennis met de verschillende onderdelen van de empirische cyclus, waarbij de nadruk ligt op het opzetten, uitvoeren, en rapporteren van empirisch onderzoek. Studenten zullen tijdens dit vak kennis opdoen over belangrijke literatuur-, schrijf-, onderzoeks- en statistische vaardigheden middels kennisclips, en zullen deze kennis vervolgens toepassen op communicatiewetenschappelijke vraagstukken en gegevens die tijdens het vak zullen worden verzameld. Studenten zullen individueel practica volgen waarin wordt geoefend met statistische analyses en de stof uit de statistiek kennisclips. Deze kennis zal worden getoetst middels twee deeltentamens. Daarnaast zal er in de werkgroepen worden geoefend met de stof uit de literatuur-, schrijf-, en onderzoeks kennisclips. Deze kennis zal worden getoetst middels een onderzoeksverslag over een kleinschalig empirisch onderzoek die wordt uitgevoerd in team verband in periode 4 en 5. Het empirisch onderzoek kent elementen van  inhoudsanalyse en experimenteel onderzoek.;https://studiegids.vu.nl/en/courses/2024-2025/S_PPC;;;;;;;;;
Project Optimization of Business Processes;X_400213;6 EC;P3;500;English;Faculty of Science;prof. dr. G.M. Koole;prof. dr. G.M. Koole;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;Project optimization of business processes concerns the construction;https://studiegids.vu.nl/en/courses/2024-2025/X_400213;;;;;;;;;
Project Modern Developments in Pharmaceutical Sciences;XB_43005;6 EC;P6;200;Dutch;Faculty of Science;dr. D.J. Scholten;dr. D.J. Scholten;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;Bij project Moderne Ontwikkelingen in de Farmaceutische wetenschappen (MOF) staan de ontwikkeling van academische vaardigheden (zgn. 'soft skills') centraal. Dit wordt gedaan in de context van geneesmiddelonderzoek en recente ontwikkelingen in het FAR-veld. Kritisch en begrijpend lezen (oordeelsvorming), samenwerken, presenteren, discussiëren en schrijven zijn belangrijke academische vaardigheden, welke in dit projectvak extra aandacht zullen krijgen. De ontwikkeling van deze vaardigheden wordt gestimuleerd door cycli van bewuste reflectie waarbij gebruikgemaakt wordt van waardevolle bronnen van informatie, zoals (peer) feedback.;https://studiegids.vu.nl/en/courses/2024-2025/XB_43005;;;;;;;;;
Project Cancer*;X_HP430021;3 EC;Ac. Year (September);300;Dutch;Faculty of Science;dr. S. Heukelom;dr. S. Heukelom;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/X_HP430021;;;;;;;;;
Project Cancer;X_430021;6 EC;P6;300;Dutch;Faculty of Science;dr. ir. J.C. Vos;dr. ir. J.C. Vos;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/X_430021;;;;;;;;;
Project Intelligent Systems;X_401076;6 EC;P3;200;English;Faculty of Science;dr. M. Cochez;dr. M. Cochez;Secondary subject for non-VU students;NA;In the course Project AI, a broad variety of techniques from the area of Artificial Intelligence are applied, in particular those from the course Intelligent Systems like adversarial search, knowledge representation and machine learning.;https://studiegids.vu.nl/en/courses/2024-2025/X_401076;;;;;;;;;
Project Conversational Agents;XB_0101;6 EC;P3;200;English;Faculty of Science;prof. dr. K.V. Hindriks;prof. dr. K.V. Hindriks;;NA;Students learn how to develop a cognitive dialogue agent that uses Google's DialogFlow and builds on the natural conversation framework of Robert Moore. Groups will collaborate todevelop a conversational agent for the cooking domain, with a focus on the recipe selection task in this domain. They will design and implement domain knowledge, conversational patterns, natural language understanding and visuals. The agent will be a voice assistant with visual support that supports the user to find a suitable cooking recipe.;https://studiegids.vu.nl/en/courses/2024-2025/XB_0101;;;;;;;;;
Project Computer Assisted Proofs;XB_0039;6 EC;P3;300;English;Faculty of Science;dr. S.R. Dahmen;dr. S.R. Dahmen;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/XB_0039;;;;;;;;;
Project Collective Intelligence;XB_0026;6 EC;P6;200;English;Faculty of Science;dr. ir. E. Ferrante;dr. ir. E. Ferrante;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/XB_0026;;;;;;;;;
Project Business Analytics 2;XB_0037;6 EC;P6;100;English;Faculty of Science;dr. W. Kager;dr. W. Kager;Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/XB_0037;;;;;;;;;
Project Business Analytics 1;X_400316;3 EC;P3;100;English;Faculty of Science;dr. R. Bekker;dr. R. Bekker;Open course;NA;The course deals with business modeling and optimization techniques in;https://studiegids.vu.nl/en/courses/2024-2025/X_400316;;;;;;;;;
Project Biomedical Imaging;X_420537;6 EC;P3;400;Dutch;Faculty of Science;prof. dr. M.L. Groot;prof. dr. M.L. Groot;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/X_420537;;;;;;;;;
Project Biomedical Mathematics (MSc);XM_0170;6 EC;P1;400;English;Faculty of Science;dr. R. Planque;dr. R. Planque;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;See the studyguide of XB_0038;https://studiegids.vu.nl/en/courses/2024-2025/XM_0170;;;;;;;;;
Project Biomedical Mathematics;XB_0038;6 EC;P1;300;English;Faculty of Science;dr. R. Planque;dr. R. Planque;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/XB_0038;;;;;;;;;
Project Big Data;X_400645;6 EC;P6;300;English;Faculty of Science;dr. A. Zocca;dr. A. Zocca;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;This course aims to integrate various aspects of modern data science and teach the fundamentals of working with big data. Topics include working with structured data; statistical data analysis; visualization of data; preparing data for processing; storing unstructured data; fitting statistical models; training basic machine learning models. Python is used throughout this hands-on project-based course.​;https://studiegids.vu.nl/en/courses/2024-2025/X_400645;;;
Project 4: Social Media Analytics;S_P4SMA;6 EC;P4+5+6;300;Dutch / English;Faculty of Social Sciences;dr. K. Welbers;dr. K. Welbers;;NA;Today, people of all ages use social media to communicate with both;https://studiegids.vu.nl/en/courses/2024-2025/S_P4SMA;;;;;;;;;
Project 4: Consultancy;S_P4C;6 EC;P4+5+6;300;Dutch;Faculty of Social Sciences;dr. L. Woensdregt;dr. L. Woensdregt;;NA;Deze cursus is de vierde en laatste van de vier projecten in de leerlijn;https://studiegids.vu.nl/en/courses/2024-2025/S_P4C;;;;;;;;;
Project 3: Social Entrepreneurship;S_P3SO;6 EC;P1+2+3;300;Dutch;Faculty of Social Sciences;dr. S. Metaal;dr. S. Metaal;;Ingetekend zijn voor S_ISNT en S_MVI;NA;https://studiegids.vu.nl/en/courses/2024-2025/S_P3SO;;;;;;;;;
Project 3: Effective Persuasion;S_P3EP;6 EC;P1+2+3;300;Dutch / English;Faculty of Social Sciences;drs. J.L. Arendsen MA;drs. J.L. Arendsen MA;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/S_P3EP;;;;;;;;;
Project 2: Strategic Communication;S_P2SC;6 EC;P4+5+6;200;Dutch / English;Faculty of Social Sciences;dr. M.G.M. Jansen;dr. M.G.M. Jansen;;NA;During this second project course of the Communication Science bachelor program, students learn to apply the knowledge acquired during their courses by analyzing the public perception of an organization of choice. Working in a team and guided by one of the teachers, they analyze and evaluate the communication strategy of the organization. After that, as the core of this project course, they conduct an online survey to assess the public perception of the organization and variables that could influence this. Students are guided through the various phases of a quantitative study, from formulating a research question and direct effect hypotheses based on scientific literature, to the selection of measurements, programming the survey and data analyses.;https://studiegids.vu.nl/en/courses/2024-2025/S_P2SC;;;;;;;;;
Project 2: Commissioned research;S_P2P;6 EC;P4+5+6;200;Dutch;Faculty of Social Sciences;dr. A. de Wit MSc;dr. A. de Wit MSc;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/S_P2P;;;;;;;;;
Project 1: Mediated Reality;S_P1MR;6 EC;P1+2+3;100;Dutch / English;Faculty of Social Sciences;drs. E.R. Schagen;drs. E.R. Schagen;;NA;Every day we receive a lot of information about the world around us; this varies from events far away to personal events in our immediate environment. This information may have an impact on us –on our thoughts, emotions and behavior –and it may shape how we view the world, how we perceive reality. How do we determine whether information represents reality? Do we form our reality through the information we seek and receive? Is it problematic when we receive fake information? When and how do we perceive information as real or relevant?;https://studiegids.vu.nl/en/courses/2024-2025/S_P1MR;;;;;;;;
Project 1: Policy Interventions;S_P1B;6 EC;P1+2+3;100;Dutch;Faculty of Social Sciences;drs. J.A. Pach;drs. J.A. Pach;;NA;Deze cursus is het eerste van de vier projecten in deleerlijn professionele vaardigheden. In deze projecten oefen je steeds met een van de vier professionele rollen die we onderscheiden. Dit zijn achtereenvolgens beleidsadviseur, opdrachtonderzoeker, sociaal ondernemer en consultant. Kenmerkend voor de cursussen in deze leerlijn is de transdisciplinaire benadering. Dit betekent dat je werkt aan een opdracht van een partij van buiten de universiteit en de uitkomst ook aan die opdrachtgever presenteert.;https://studiegids.vu.nl/en/courses/2024-2025/S_P1B;;;;;;;;;
Programming Large-Scale Parallel Systems;XM_40017;6 EC;P1;400;English;Faculty of Science;dr. F. Verdugo Rojano;dr. F. Verdugo Rojano;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;This course discusses how to write computer programs that can run in parallel on a large number of processors with the main goal of reducing execution time and solving large problems that cannot fit in a single compute node. You will learn how to design such parallel algorithms in order to minimize communication overhead and load imbalance, how to implement them using different parallel computing models, and how to analyze the performance of the resulting codes and the underlying hardware. Among all parallel programming models and environments available for High Performance Computing, this course focuses on distributed-memory parallelization. You will learn established techniques such as message-passing with MPI, but also more modern approaches like the task-based distributed-computing model provided by the Julia programming language. Several parallel applications are discussed in the course, including partial differential equations, deep learning, N-body simulation, and search algorithms.;https://studiegids.vu.nl/en/courses/2024-2025/XM_40017;;;;;;;;;
Programming in Python for Text Analysis;L_AAMPLIN021;6 EC;P1;500;English;Faculty of Humanities;dr. P.J.M. Sommerauer;dr. P.J.M. Sommerauer;Extra curricular course for VU students, Secondary subject for non-VU students;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/L_AAMPLIN021;;;;;;;;;
Programming for Psychologists;P_MPROPSY;6 EC;P1+2;500;English;Faculty of Behavioural and Movement Sc.;dr. M. Nau;dr. M. Nau;;NA;This course introduces students to programming with Python, covering essential concepts, data structures, and libraries relevant to psychological and neuroscientific research. Through lectures and practical exercises, students will learn how to use Python for basic task design, data analysis, and visualization - equipping them with the necessary skills to utilize Python effectively in their future research. Moreover, the course will introduce best practices in open science (e.g., code sharing), teaching students how to ensure their research is reproducible, accessible, and transparent.;https://studiegids.vu.nl/en/courses/2024-2025/P_MPROPSY;;;;;;;;;
Programming for MNW;XB_0044;3 EC;P3;100;Dutch;Faculty of Science;dr. M. Senghi Soares;dr. M. Senghi Soares;;The course is meant to be followed by students with no previous;NA;https://studiegids.vu.nl/en/courses/2024-2025/XB_0044;;;;;;;;;
Programming for Economists;E_EBE1_PFE;6 EC;P6;100;English;School of Business and Economics;J.F. Fitzgerald;J.F. Fitzgerald;Secondary subject for non-VU students;NA;This course will provide an introductory guide for programming in R. We will focus on teaching introductory coding skills that are relevant for data science and research applications. The object-oriented programming skills taught in this course are easily portable to other commonly-used object-oriented languages such as Python and C++.;https://studiegids.vu.nl/en/courses/2024-2025/E_EBE1_PFE;;;;;;;;;
Profit Taxation in the Global Economy PT;E_PTACC_PTGE;6 EC;P5;400;English;School of Business and Economics;prof. dr. J.L. Wielhouwer;prof. dr. J.L. Wielhouwer;Secondary subject for non-VU students;Students should have sufficient economic knowledge and calculative skills to evaluate different alternatives based on net present value or other economic objectives. Students should be able to read and understand empirical economic literature.;Students will learn to evaluate business taxation issues and policies in a global and changing economy from a business and country perspective.;https://studiegids.vu.nl/en/courses/2024-2025/E_PTACC_PTGE;;;;;;;;;
Profit Taxation in the Global Economy;E_ACC_PTGE;6 EC;P5;400;English;School of Business and Economics;prof. dr. J.L. Wielhouwer;prof. dr. J.L. Wielhouwer;Secondary subject for non-VU students;Students should have sufficient economic knowledge and calculative skills to evaluate different alternatives based on net present value or other economic objectives. Students should be able to read and understand empirical economic literature.;Students will learn to evaluate business taxation issues and policies in a global and changing economy from a business and country perspective.;https://studiegids.vu.nl/en/courses/2024-2025/E_ACC_PTGE;;;;;;;;;
Professional Skills and Career Orientation Physics and Astronomy;XBU_0018;3 EC;P1+2, P4+5;200;Dutch;Faculty of Science;J.G.H. Kessels;;;NA;https://studiegids.uva.nl/xmlpages/page/2024-2025/zoek-vak/vak/118757;https://studiegids.vu.nl/en/courses/2024-2025/XBU_0018;;;;;;;;;
Professional Conduct;T_PG;1 EC;Ac. Year (September);300;Dutch;ACTA;dr. R.C. Gorter;dr. R.C. Gorter;;NA;De maatschappij verwacht van jou als tandarts dat je met voldoende kennis en vaardigheden te werk gaat. Dit geldt als professioneel handelen. Tegelijkertijd verwacht men van je dat je je professioneel gedraagt.;https://studiegids.vu.nl/en/courses/2024-2025/T_PG;;;;;;;;;
Professional Skills;G_PROFS;3 EC;P3+4+5+6;400;English;Faculty of Religion and Theology;dr. G. Blaauwendraad;dr. G. Blaauwendraad;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/G_PROFS;;;;;;;;;
Professional opportunities and personal well-being: Working and studying in the field of international crimes;R_Popw;3 EC;Ac. Year (September);400;English;Faculty of Law;dr. M. Weerdesteijn MSc;dr. M. Weerdesteijn MSc;;NA;Studying and working in the field of international crimes is not only difficult because it is intellectually demanding but also because it can be emotionally challenging. Both during their studies, as well as their careers afterwards, those focusing on conflict related crimes are confronted with the hardship of others which may negatively impact their personal wellbeing. It is, therefore, important to learn how to cope with these emotions, be there for others who may struggle with these emotions, as well as to find out which kind of career path is best for them personally.;https://studiegids.vu.nl/en/courses/2024-2025/R_Popw;;;;;;;;;
Professionalism in Biomolecular Science year 2;AM_1277;3 EC;Ac. Year (September);400;English;Faculty of Science;V. Chubar;V. Chubar;;NA;The students will now put what they learned from the year 1 and 2;https://studiegids.vu.nl/en/courses/2024-2025/AM_1277;;;;;;;;;
Professionalism in Biomolecular Science year 1;AM_1273;0 EC;Ac. Year (September);400;English;Faculty of Science;V. Chubar;V. Chubar;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/AM_1273;;;;;;;;;
Procurement and Supply Management;E_IBK3_PSM;6 EC;P4;300;English;School of Business and Economics;dr. A.S. Eruguz;dr. A.S. Eruguz;Secondary subject for non-VU students, Part of an Exchange Programme;NA;In this course, we aim at discussing the management of purchasing, transport and supply activities. In particular, we aim at lecturing the following topics:;https://studiegids.vu.nl/en/courses/2024-2025/E_IBK3_PSM;;;;;;;;;
Problems of Market Regulation;R_LBFM;6 EC;P2;500;English;Faculty of Law;prof. dr. G.T. Davies;prof. dr. G.T. Davies;;NA;This course examines the side effects of international markets and trade;https://studiegids.vu.nl/en/courses/2024-2025/R_LBFM;;;;;;;;;
Problems at School;P_MPROSCH;6 EC;P5;400;Dutch;Faculty of Behavioural and Movement Sc.;dr. F. de Swart;dr. F. de Swart;;NA;In deze cursus leer je gedrag van leerlingen te interpreteren vanuit de interacties met leerkrachten en klasgenoten, want het bevorderen van positieve interacties kan een gezonde ontwikkeling stimuleren. Daarnaast leer je welke pedagogische en didactische adviezen je leerkrachten kan geven om aan te sluiten bij de ondersteuningsbehoeften van leerlingen (bijv. leerlingen met ASS, leerlingen met problemen met executieve functies, dyslexie). Achtereenvolgens worden de volgende thema's behandeld: Het werkveld van de schoolpsycholoog, Leerkracht-leerling relatie en interactie, Pedagogische en didactische adviezen, Dyslexie, Sociale relaties en groepsdynamiek;https://studiegids.vu.nl/en/courses/2024-2025/P_MPROSCH;;;;;;;;;
Problematic and Beneficial Effects of Media Use;S_PBEMU;6 EC;P2;500;English;Faculty of Social Sciences;prof. dr. T. Hartmann;prof. dr. T. Hartmann;Secondary subject for non-VU students, Part of an Exchange Programme;NA;If a new medium enters society it raises concerns and public debates. Some people are euphoric and optimistic, but many fear the new medium will result in a cultural decline. Currently, we see the same debates evolving around AI or ChatGPT, Virtual Reality or the metaverse, or Social Robots (and before these: the book, comic books, film, video games, personal computers, the Internet...). We are also still very much debating the pros and cons of social media in society.;https://studiegids.vu.nl/en/courses/2024-2025/S_PBEMU;;;;;;;;;
Probability Theory;X_400622;6 EC;P4+5;200;English;Faculty of Science;dr. A. Zocca;dr. A. Zocca;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;We study experiments in which randomness plays a role. We first consider discrete probability experiments: experiments with a countable;https://studiegids.vu.nl/en/courses/2024-2025/X_400622;;;;;;;;;
